city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,year
wichita,ks,other,600.0,8/11/2004,37.6922222,-97.3372222,2004
san antonio,tx,sphere,600.0,6/18/2004,29.4238889,-98.4933333,2003
new york city (bronx),ny,circle,20.0,8/30/1999,40.7141667,-74.0063889,1999
twisp,wa,fireball,20.0,10/10/2011,48.3636111,-120.1211111,2011
sentinel,az,teardrop,300.0,2/22/2005,32.8580556,-113.2125,2005
santa barbara,ca,triangle,5.0,5/12/2009,34.4208333,-119.6972222,2009
bloomington,in,cigar,120.0,5/12/2010,39.1652778,-86.5263889,2010
fullerton,ca,fireball,720.0,8/7/2011,33.8702778,-117.9244444,2011
las vegas,nv,light,45.0,1/12/2012,36.175,-115.1363889,2012
yakima,wa,light,15.0,4/13/2010,46.6022222,-120.5047222,2010
louisville,ky,triangle,600.0,3/6/2001,38.2541667,-85.7594444,2000
maple shade,nj,triangle,60.0,8/7/2007,39.9525,-74.9927778,2007
o&#39fallon,mo,triangle,1200.0,2/14/2006,38.8105556,-90.6997222,1998
lake havasu city,az,sphere,120.0,8/7/2011,34.4838889,-114.3216667,2011
new braunfels,tx,oval,20.0,12/19/2003,29.7027778,-98.1241667,2003
cut off,la,circle,180.0,3/4/2008,29.5425,-90.3380556,2007
lincoln,ne,circle,120.0,7/8/2004,40.8,-96.6666667,2004
kennewick,wa,light,60.0,10/12/2001,46.2113889,-119.1361111,2001
buena park,ca,oval,300.0,10/11/2005,33.8675,-117.9972222,2005
claremont,ca,circle,18000.0,11/28/2007,34.0966667,-117.7188889,2007
poway,ca,other,360.0,8/28/2003,32.9627778,-117.035,1995
salem (outside),or,light,600.0,8/20/2001,44.9430556,-123.0338889,2001
charlotte,nc,oval,120.0,7/14/2013,35.2269444,-80.8433333,2013
wyoming,mi,disk,60.0,5/15/2006,42.9133333,-85.7052778,1994
garden grove,ca,light,120.0,2/1/2007,33.7738889,-117.9405556,2006
orlando,fl,fireball,3600.0,5/13/2012,28.5380556,-81.3794444,2012
bristol,tn,other,1200.0,9/1/2004,36.595,-82.1888889,2004
fairfield,tx,formation,4.0,7/16/2006,31.7244444,-96.165,2006
kirkland,wa,circle,60.0,6/3/2010,47.6816667,-122.2075,1993
lincoln city,or,teardrop,30.0,11/20/2013,44.9583333,-124.0166667,2013
fort irwin,ca,triangle,600.0,2/10/2012,35.2627778,-116.6838889,2012
moultonborough,nh,teardrop,120.0,7/4/2012,43.7547222,-71.3972222,2012
albuquerque,nm,other,120.0,3/18/2014,35.0844444,-106.6505556,2014
menomonee falls,wi,triangle,90.0,9/30/2013,43.1788889,-88.1172222,2013
austin,tx,triangle,3.0,12/12/2011,30.2669444,-97.7427778,2011
bow,wa,sphere,90.0,6/20/2012,48.5619444,-122.3969444,2012
hays,mt,oval,1500.0,8/21/2011,47.9891667,-108.6936111,2011
peru,in,light,2820.0,3/19/2009,40.7536111,-86.0688889,2009
corralitos,ca,disk,5.0,12/16/1999,36.9886111,-121.8052778,1999
east providence,ri,light,3600.0,1/28/1999,41.8136111,-71.3705556,1996
salem,or,flash,2.0,10/19/1999,44.9430556,-123.0338889,1999
provincetown,ma,triangle,60.0,9/24/2012,42.0583333,-70.1791667,2012
houston,tx,diamond,120.0,6/18/2004,29.7630556,-95.3630556,1957
lee,nh,light,1140.0,6/12/2008,43.1230556,-71.0119444,2008
chicago,il,oval,300.0,10/11/2005,41.85,-87.65,2005
pahrump,nv,light,600.0,4/28/2001,36.2083333,-115.9830556,2001
millsboro,de,egg,2700.0,10/2/1999,38.5913889,-75.2916667,1999
oak glen,ca,light,120.0,5/14/2002,34.0494444,-116.9469444,2002
harrington,wa,light,20.0,10/19/2011,47.4811111,-118.2533333,2011
austin,tx,circle,4.0,8/19/2012,30.2669444,-97.7427778,2012
wheaton,il,sphere,120.0,2/14/2006,41.8661111,-88.1069444,2006
caldwell,id,cylinder,3.0,11/21/2010,43.6630556,-116.6863889,2010
huntington,wv,oval,60.0,2/10/2012,38.4191667,-82.4452778,2012
chicago,il,triangle,20.0,8/27/2009,41.85,-87.65,2009
baraboo,wi,circle,1260.0,10/10/2011,43.4711111,-89.7441667,2011
brookings,or,circle,600.0,7/8/2004,42.0527778,-124.2827778,2004
island pond,vt,disk,900.0,3/8/2007,44.8147222,-71.8808333,2007
boulder,co,other,600.0,10/15/2002,40.015,-105.27,1999
conshohocken,pa,disk,600.0,6/20/2005,40.0791667,-75.3019444,1966
kansas city (suburb of),mo,triangle,120.0,2/18/2001,39.0997222,-94.5783333,2001
portland,or,sphere,20.0,2/18/2001,45.5236111,-122.675,2001
oak island,nc,formation,300.0,9/24/2012,33.9163889,-78.1613889,2012
madera,pa,fireball,600.0,7/16/2003,40.8283333,-78.4352778,1978
raleigh,nc,triangle,15.0,3/31/2008,35.7719444,-78.6388889,2008
woodland  hills,ca,light,10.0,11/26/2003,34.1683333,-118.605,2003
mesquite,nv,triangle,60.0,5/13/2012,36.8055556,-114.0663889,2012
hoover,al,disk,1200.0,9/30/2013,33.4052778,-86.8113889,2013
mandeville,la,triangle,600.0,12/12/2009,30.3580556,-90.0655556,2009
ramona (near),ca,light,20.0,6/12/2008,33.0416667,-116.8672222,2008
academy,tx,other,60.0,11/20/2002,30.9808333,-97.3413889,2002
fleming,ky,light,300.0,3/8/2007,37.1955556,-82.6991667,2007
st. louis,mo,sphere,120.0,2/14/2008,38.6272222,-90.1977778,1965
tinley park,il,circle,600.0,10/11/2005,41.5733333,-87.7844444,2005
west bloomfield,mi,other,180.0,10/8/2007,42.5377778,-83.2330556,1998
taylor,mi,fireball,120.0,1/12/2012,42.2408333,-83.2697222,2012
portland,or,changing,600.0,9/17/2000,45.5236111,-122.675,1999
san francisco,ca,formation,900.0,7/5/2005,37.775,-122.4183333,2005
pleasanton,ca,light,10.0,3/19/2009,37.6625,-121.8736111,2009
nottingham,nh,circle,240.0,8/5/2012,43.1144444,-71.1002778,2012
state college,pa,flash,20.0,6/12/2002,40.7933333,-77.8602778,1997
st. joseph,mi,cylinder,2.0,4/27/2007,42.1097222,-86.48,2004
elkhart,in,oval,600.0,9/24/2012,41.6819444,-85.9766667,2012
honolulu,hi,fireball,2.0,9/29/2002,21.3069444,-157.8583333,2002
mountain home,id,flash,3.0,5/13/2012,43.1330556,-115.6902778,2012
evansville,in,fireball,25.0,10/10/2011,37.9747222,-87.5558333,2011
santa rosa,ca,other,1200.0,3/17/2004,38.4405556,-122.7133333,2003
traverse city,mi,other,300.0,11/4/2002,44.7630556,-85.6205556,2002
cincinnati,oh,light,10.0,12/12/2009,39.1619444,-84.4569444,2009
dearborn,mi,fireball,120.0,7/22/2013,42.3222222,-83.1763889,2013
warren,mi,light,600.0,11/11/2013,42.4775,-83.0277778,2013
captiva,fl,fireball,1200.0,8/30/2013,26.5216667,-82.1894444,2013
dallas,tx,light,240.0,1/24/2012,32.7833333,-96.8,2012
paradise,mt,other,300.0,2/18/2013,47.3894444,-114.8011111,2013
purdy,wa,fireball,2.0,12/16/1999,47.3891667,-122.6241667,1999
spring hill,ks,circle,120.0,8/5/2012,38.7430556,-94.8252778,2012
san diego,ca,flash,5.0,3/11/2003,32.7152778,-117.1563889,2003
talco,tx,light,30.0,7/1/2002,33.3625,-95.1044444,1999
buffalo,mn,cylinder,240.0,1/16/2014,45.1719444,-93.8744444,2013
austin,tx,teardrop,300.0,10/31/2003,30.2669444,-97.7427778,2003
rocky mount (4mi s.e. of),va,disk,120.0,8/5/2001,36.9975,-79.8922222,1999
lakewood,ca,chevron,10.0,4/26/1999,33.8536111,-118.1330556,1999
larose,la,circle,1800.0,5/15/2006,29.5722222,-90.3816667,2006
tucson,az,diamond,600.0,12/2/2000,32.2216667,-110.9258333,2000
napa (near),ca,other,480.0,3/16/2000,38.2972222,-122.2844444,1999
novato,ca,flash,180.0,1/28/1999,38.1075,-122.5686111,1998
kennebunkport,me,other,1200.0,11/21/2010,43.3616667,-70.4772222,2010
mansfield,tx,oval,13.0,7/16/2006,32.5630556,-97.1413889,2006
newark,nj,fireball,7.0,11/20/2013,40.7355556,-74.1727778,2013
port republic,nj,fireball,15.0,5/29/2011,39.5205556,-74.4861111,2011
ithaca,ny,fireball,600.0,8/30/2013,42.4405556,-76.4969444,2013
winter park,fl,other,600.0,2/21/2014,28.5997222,-81.3394444,2014
willow springs,il,other,180.0,8/7/2011,41.7408333,-87.8602778,2011
columbia,ct,cylinder,5.0,1/31/2004,41.7019444,-72.3016667,2004
albuquerque,nm,oval,5.0,5/12/2010,35.0844444,-106.6505556,2010
richmond,va,fireball,2.0,1/11/2005,37.5536111,-77.4605556,2005
smithtown,ny,disk,30.0,2/14/2006,40.8558333,-73.2011111,1976
whittier,ca,oval,120.0,2/8/2011,33.9791667,-118.0319444,2011
warrington,pa,fireball,30.0,8/19/2012,40.2491667,-75.1344444,2012
montauk (town of east hampton),ny,circle,300.0,1/10/2009,41.0358333,-71.955,2008
laconia,nh,light,300.0,12/7/2006,43.5277778,-71.4708333,2006
wolf creek,mt,disk,10800.0,7/19/2010,47.0061111,-112.0683333,2010
los angeles,ca,sphere,60.0,2/18/2001,34.0522222,-118.2427778,2001
grass valley,ca,other,5.0,3/13/2012,39.2191667,-121.06,2012
shabbona,il,diamond,600.0,2/3/2012,41.7680556,-88.8769444,2011
