city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,year
san marcos,tx,cylinder,2700.0,4/27/2004,29.8830556,-97.9411111,1949
edna,tx,circle,20.0,1/17/2004,28.9783333,-96.6458333,1956
kaneohe,hi,light,900.0,1/22/2004,21.4180556,-157.8036111,1960
bristol,tn,sphere,300.0,4/27/2007,36.595,-82.1888889,1961
norwalk,ct,disk,1200.0,10/2/1999,41.1175,-73.4083333,1965
pell city,al,disk,180.0,3/19/2009,33.5861111,-86.2861111,1966
live oak,fl,disk,120.0,5/11/2005,30.2947222,-82.9841667,1966
hawthorne,ca,circle,300.0,10/31/2003,33.9163889,-118.3516667,1968
brevard,nc,fireball,180.0,6/12/2008,35.2333333,-82.7344444,1968
bellmore,ny,disk,1800.0,5/11/2000,40.6686111,-73.5275,1970
lexington,nc,oval,30.0,2/14/2010,35.8238889,-80.2536111,1971
harlan county,ky,circle,1200.0,9/15/2005,36.8430556,-83.3219444,1972
west bloomfield,mi,disk,120.0,8/14/2007,42.5377778,-83.2330556,1972
niantic,ct,disk,1800.0,9/24/2003,41.3252778,-72.1936111,1973
hudson,ma,other,2700.0,8/10/1999,42.3916667,-71.5666667,1974
hudson,ks,light,1200.0,7/25/2004,38.1055556,-98.6597222,1974
north charleston,sc,light,360.0,2/14/2008,32.8544444,-79.975,1975
washougal,wa,oval,60.0,2/7/2014,45.5827778,-122.3522222,1976
san antonio,tx,other,30.0,2/24/2005,29.4238889,-98.4933333,1977
louisville,ky,light,30.0,3/17/2004,38.2541667,-85.7594444,1977
elmont,ny,rectangle,300.0,2/1/2007,40.7008333,-73.7133333,1978
poughkeepsie,ny,chevron,900.0,4/16/2005,41.7002778,-73.9213889,1979
san diego,ca,oval,180.0,8/5/2001,32.7152778,-117.1563889,1979
houston,tx,sphere,180.0,4/16/2005,29.7630556,-95.3630556,1980
manchester,nh,light,300.0,11/21/2010,42.9955556,-71.4552778,1980
houston,tx,circle,60.0,4/18/2012,29.7630556,-95.3630556,1984
traverse city,mi,other,120.0,10/7/2003,44.7630556,-85.6205556,1984
white plains,ny,formation,20.0,8/10/1999,41.0338889,-73.7633333,1984
milwaukee,wi,triangle,600.0,8/7/2007,43.0388889,-87.9063889,1988
boulder,co,light,60.0,7/16/2006,40.015,-105.27,1988
calabasas,ca,disk,300.0,12/14/2004,34.1577778,-118.6375,1989
centralia,wa,triangle,60.0,4/27/2004,46.7163889,-122.9530556,1989
ashburn,ga,triangle,120.0,10/8/2007,31.7058333,-83.6533333,1990
harrisburg,pa,triangle,600.0,5/9/2003,40.2736111,-76.8847222,1991
panama city,fl,formation,3600.0,1/28/1999,30.1586111,-85.6602778,1992
seymour,tn,cigar,60.0,10/31/2008,35.8905556,-83.7247222,1992
peoria,il,light,8.0,10/11/2005,40.6936111,-89.5888889,1993
carthage,tn,other,60.0,3/21/2003,36.2522222,-85.9516667,1993
burnt hills,ny,rectangle,120.0,10/23/2013,42.9097222,-73.8955556,1994
pinebergen,ar,light,5.0,2/18/2001,34.1027778,-91.9922222,1994
higginsville,mo,triangle,3.0,2/16/2000,39.0725,-93.7169444,1996
charleston,sc,light,300.0,11/26/2003,32.7763889,-79.9311111,1996
monroe county,oh,cylinder,60.0,7/8/2004,39.4402778,-84.3622222,1996
